segment_id,name,from_junction,to_junction,distance_km,capacity,current_vehicles,speed_limit_kmh,road_type,blocked
S01,MG Road,J01,J02,0.9,800,720,60,arterial,False
S02,NH-4 Connector,J01,J04,1.8,1000,850,70,arterial,False
S03,Station Road South,J01,J11,1.2,600,480,40,collector,False
S04,IT Corridor,J01,J13,2.1,900,1350,60,arterial,False
S05,Old City Road,J01,J17,0.5,500,350,40,collector,False
S06,Temple Lane,J01,J19,1.4,400,120,40,collector,False
S07,Municipal Road,J02,J04,1.1,500,200,45,collector,False
S08,Lakeside Drive,J02,J12,1.6,450,135,45,collector,False
S09,Park Avenue,J02,J18,0.8,400,360,40,collector,False
S10,Western Express,J03,J10,1.8,1000,300,70,arterial,False
S11,Bridge Approach Road,J03,J15,1.4,500,550,40,collector,False
S12,Market-Terminal Link,J03,J17,0.7,600,660,40,collector,False
S13,Heritage Road,J03,J18,1.2,350,105,35,residential,False
S14,Hospital Expressway,J04,J07,1.3,1100,880,80,arterial,False
S15,Cantonment Road,J04,J20,0.9,600,540,45,collector,False
S16,University Lane,J05,J07,1.4,250,50,30,residential,False
S17,Campus Connector,J05,J13,0.7,500,450,45,collector,False
S18,Defence Colony Road,J05,J20,1.1,400,160,40,collector,False
S19,Industrial Bypass,J06,J08,2.0,300,270,35,residential,False
S20,Eastern Freight Road,J06,J09,1.5,800,280,60,arterial,False
S21,Temple-Industry Road,J06,J19,1.3,350,120,35,residential,False
S22,Northern Ring Road,J07,J12,2.2,1200,480,80,arterial,False
S23,Airport Highway,J07,J14,2.5,1100,990,80,arterial,False
S24,Southern Ring Road,J08,J09,2.8,1200,1320,80,arterial,False
S25,Riverbank Road,J08,J15,2.0,400,120,35,residential,False
S26,New Bridge Road,J08,J16,0.6,700,630,50,collector,False
S27,Tech Park Road,J09,J13,1.4,800,720,60,arterial,False
S28,Airport-East Link,J09,J14,1.8,900,270,70,arterial,False
S29,Western Ring Road,J10,J12,2.5,1100,440,80,arterial,False
S30,Outer Ring West,J10,J15,1.5,800,880,60,arterial,False
S31,Colony-Bridge Link,J11,J16,1.0,500,350,40,collector,False
S32,Residential Row,J11,J17,0.6,250,200,30,residential,False
S33,Colony Back Road,J11,J19,1.1,200,60,25,residential,False
S34,Hill View Road,J12,J18,0.9,300,90,30,residential,False
S35,IT Express,J13,J14,1.6,900,1035,70,arterial,False
